Data Name,Data Name Link,Data Source,Data Source Link
"Meat of pig with the bone, fresh or chilled",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1035%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Table 4.3 Non-financial Corporations (S.11),https://data.un.org/Data.aspx?q=africa&d=SNA&f=group_code%3a403%3bcountry_code%3a710,National Accounts Official Country Data,javascript:;
Daily newspapers: Total average circulation,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aC_N_500036%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Net financial flows, IDA (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.MIDA.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS,World Development Indicators,javascript:;
Births attended by skilled health personnel,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a47%3bcrID%3a79,Gender Info,javascript:;
"Meat of rabbits and hares, fresh or chilled",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1141%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Balance of payments - Unit value of exports,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a74%3bCountryCode%3a199%2c605,International Financial Statistics,javascript:;
Balance of payments - Unit value of imports,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3a75%3bCountryCode%3a199%2c605,International Financial Statistics,javascript:;
Gender parity index for adult literacy rate,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a62%3bcrID%3a79,Gender Info,javascript:;
Number Days with Precipitation GE Threshold,https://data.un.org/Data.aspx?q=africa&d=CLINO&f=ElementCode%3a95%3bCountryCode%3aUA+,World Meteorological Organization Standard Normals,javascript:;
Gross enrolment ratio in tertiary education,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a68%3bcrID%3a79,Gender Info,javascript:;
Central government - assets and liabilities,https://data.un.org/Data.aspx?q=africa&d=IFS&f=SeriesCode%3ac6%3bCountryCode%3a199,International Financial Statistics,javascript:;
Firms offering formal training (% of firms),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.FRM.TRNG.ZS%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Trade of goods, US$, HS, 83 Metal; miscellaneous products of base metal",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a83%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"School life expectancy, primary to tertiary",https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a85%3bcrID%3a79,Gender Info,javascript:;
Gross intake ratio to last grade of primary,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a91%3bcrID%3a79,Gender Info,javascript:;
"Trade of goods, US$, HS, 99 Commodities not specified according to kind",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a98%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"Other industrial roundwood, non-coniferous (production)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1626%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
People living with HIV/AIDS (high estimate),https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a103%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Proportion of infants with low birth weight,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a115%3bcrID%3a484%2c535,The State of the World’s Children,javascript:;
CPIA fiscal policy rating (1=low to 6=high),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIQ.CPA.FISP.XQ%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS,World Development Indicators,javascript:;
Routine EPI vaccines financed by government,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a125%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Number of laboratory technicians/assistants,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aHRH_14%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Net attendance ratio in secondary education,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a136%3bcrID%3a483%2c484%2c494%2c535,The State of the World’s Children,javascript:;
Tertiary graduates from Services programmes,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aG_56_F800_DCOUNT%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Panty hose and tights, knitted or crocheted",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a28210-1%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Arms imports (SIPRI trend indicator values),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aMS.MIL.MPRT.KD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Arms exports (SIPRI trend indicator values),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aMS.MIL.XPRT.KD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Neonatal tetanus - number of reported cases,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS3_56%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Outflows by purpose of going abroad and sex,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a403%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
Live births by sex and urban/rural residence,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a4%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
"Deaths by age, sex and urban/rural residence",https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a7%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
Wastewater treated in other treatment plants,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a109%3bcountryID%3a710,Environment Statistics Database,javascript:;
Present value of external debt (current US$),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.DOD.PVLX.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
Population connected to wastewater treatment,https://data.un.org/Data.aspx?q=africa&d=ENV&f=variableID%3a164%3bcountryID%3a710,Environment Statistics Database,javascript:;
"Meat of pig with the bone, fresh or chilled (indigenous)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1055%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Diamonds and other precious stones, unworked",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a16310-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Multilateral debt service (TDS, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.TDS.MLAT.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
"Meat of rabbits and hares, fresh or chilled (indigenous)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1144%3bcountryCode%3a5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Private credit bureau coverage (% of adults),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.CRD.PRVT.ZS%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Live births by birth order and age of mother,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a58%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
Gross enrolment ratio in secondary education,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a59%3bcrID%3a79,Gender Info,javascript:;
"Cost to export, documentary compliance (US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.EXP.CSDC.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Trade of goods, US$, HS, 81 Metals; n.e.c., cermets and articles thereof",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a81%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
"Cost to import, documentary compliance (US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.IMP.CSDC.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Parliamentary seats in upper house or senate,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a124%3bcrID%3a79,Gender Info,javascript:;
Tertiary graduates from Education programmes,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aG_56_F140_DCOUNT%3bref_area%3aZAF,UIS Data Centre,javascript:;
Number of traditional medicine practitioners,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aHRH_16%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Wrapping and packaging paper and paperboard (1961-1997),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1681%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Railways, goods transported (million ton-km)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIS.RRS.GOOD.MT.K6%3bCountry_Code%3aMEA%2cMNA%2cTMN%2cZAF,World Development Indicators,javascript:;
New Entrants to Grade 1 of Primary education,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aNE_1_G1%3bref_area%3aZAF,UIS Data Centre,javascript:;
Malaria - number of reported confirmed cases,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS3_48%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
"Nitrogenous fertilizers, mineral or chemical",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a34613-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Number of obese adults (18 years and older) (million),https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a210420%3bcountryCode%3a202%2c420%2c429%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105%2c5810,FAOSTAT,javascript:;
Crude steel and steel semi-finished products,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a41120-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Inflows by purpose of staying abroad and sex,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a401%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
Per capita GDP at current prices - US dollars,https://data.un.org/Data.aspx?q=africa&d=SNAAMA&f=grID%3a101%3bcurrID%3aUSD%3bpcFlag%3a1%3bcrID%3a710,National Accounts Estimates of Main Aggregates,javascript:;
"Cheese from milk of goats, fresh or processed",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1021%3bcountryCode%3a5100%2c5101%2c5103%2c5105,FAOSTAT,javascript:;
Per capita GNI at current prices - US dollars,https://data.un.org/Data.aspx?q=africa&d=SNAAMA&f=grID%3a103%3bcurrID%3aUSD%3bpcFlag%3a1%3bcrID%3a710,National Accounts Estimates of Main Aggregates,javascript:;
Percent child marriage among women aged 20-24,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a21%3bcrID%3a79,Gender Info,javascript:;
"IFC, private nonguaranteed (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.NIFC.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Eggs from other birds in shell, fresh, n.e.c.",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1091%3bcountryCode%3a5100%2c5101%2c5104%2c5105,FAOSTAT,javascript:;
Percentage of Private television institutions,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aC_RT_BPBI_TV_PR%3bref_area%3aZAF,UIS Data Centre,javascript:;
Gross national income per capita (PPP int. $),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS9_93%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
"Fish, otherwise prepared or preserved; caviar",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a21240-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Public credit registry coverage (% of adults),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.CRD.PUBL.ZS%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Contraceptive prevalence (modern methods) (%),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3acpmo%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Gender parity index for primary net enrolment,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a69%3bcrID%3a79,Gender Info,javascript:;
"Trade of goods, US$, HS, 97 Works of art; collectors' pieces and antiques",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a97%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Total tax and contribution rate (% of profit),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.TAX.TOTL.CP.ZS%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Soft drinks, excluding water and fruit juices",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a24490-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
CPIA gender equality rating (1=low to 6=high),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIQ.CPA.GNDR.XQ%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS,World Development Indicators,javascript:;
"Population by citizenship status, age and sex",https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a126%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
Number of health management & support workers,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aHRH_11%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Share of youth unemployed in total unemployed,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a127%3bcrID%3a79,Gender Info,javascript:;
Share of youth unemployed in youth population,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a128%3bcrID%3a79,Gender Info,javascript:;
Graduates from tertiary education. Both Sexes,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aG_56_DCOUNT%3bref_area%3aZAF,UIS Data Centre,javascript:;
"GDP per capita, PPP (current international $)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aNY.GDP.PCAP.PP.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"GNI per capita, PPP (current international $)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aNY.GNP.PCAP.PP.CD%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Primary education (ISCED 1) Repeaters Grade 1,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G1%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Repeaters Grade 2,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G2%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Repeaters Grade 3,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G3%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Repeaters Grade 4,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G4%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Repeaters Grade 5,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G5%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Repeaters Grade 6,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G6%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Repeaters Grade 7,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aR_1_G7%3bref_area%3aZAF,UIS Data Centre,javascript:;
Learning materials at home - Children's books,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a238%3bcrID%3a484,The State of the World’s Children,javascript:;
Live births by age of mother and sex of child,https://data.un.org/Data.aspx?q=africa&d=POP&f=tableCode%3a260%3bcountryCode%3a710,Demographic Statistics Database,javascript:;
Researchers by Sector: Government sector (HC),https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aST_21209%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Cheese from milk of sheep, fresh or processed",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a984%3bcountryCode%3a5100%2c5101%2c5103%2c5105,FAOSTAT,javascript:;
Knowledge about HIV prevention in young people,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a1%3bcrID%3a204,UNAIDS Data,javascript:;
Gross intake rate to the last grade of Primary,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aAIR_1_GLAST%3bref_area%3aMDG_NAFR%2cMDG_SSA%2cZAF,UIS Data Centre,javascript:;
"Edible offal of goat, fresh, chilled or frozen",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1018%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Net enrolment ratio in primary education (NER),https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a7%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
"Edible offal of pigs, fresh, chilled or frozen",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1036%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Status of endemicity of visceral leishmaniasis,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aNTD_LEISHVEND%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Contraceptive prevalence rate - modern methods,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a18%3bcrID%3a79,Gender Info,javascript:;
Minimum legal age for marriage without consent,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a19%3bcrID%3a79,Gender Info,javascript:;
"Net financial flows, others (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.MOTH.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
Pregnant women needing ARV for preventing MTCT,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a38%3bcrID%3a204%2c278%2c281%2c901%2c902,UNAIDS Data,javascript:;
"IMF repurchases and charges (TDS, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.TDS.DIMF.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
Antenatal care coverage for at least one visit,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a46%3bcrID%3a79,Gender Info,javascript:;
"Crude birth rate (births per 1,000 population)",https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a53%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Time to obtain an electrical connection (days),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.ELC.DURS%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Time to export, documentary compliance (hours)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.EXP.TMDC%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Crude death rate (deaths per 1,000 population)",https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a65%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Women's share of tertiary enrolment in science,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a80%3bcrID%3a79,Gender Info,javascript:;
"Time to import, documentary compliance (hours)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.IMP.TMDC%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
Gender parity index for school life expectancy,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a86%3bcrID%3a79,Gender Info,javascript:;
Women's share of teachers in primary education,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a88%3bcrID%3a79,Gender Info,javascript:;
"Time required to start a business, male (days)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIC.REG.DURS.MA%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS%2cZAF,World Development Indicators,javascript:;
"Industrial roundwood, non-coniferous tropical (export/import)",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a1657%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
Parliamentary seats in single or lower chamber,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a122%3bcrID%3a79,Gender Info,javascript:;
TB-related deaths among people living with HIV,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a123%3bcrID%3a204,UNAIDS Data,javascript:;
CPIA financial sector rating (1=low to 6=high),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aIQ.CPA.FINS.XQ%3bCountry_Code%3aAFE%2cAFW%2cMEA%2cMNA%2cSSA%2cSSF%2cTMN%2cTSS,World Development Indicators,javascript:;
Female genital mutilation/cutting of daughters,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a131%3bcrID%3a484%2c535,The State of the World’s Children,javascript:;
Tertiary graduates from Agriculture programmes,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aG_56_F600_DCOUNT%3bref_area%3aZAF,UIS Data Centre,javascript:;
Primary education (ISCED 1) Net enrolment rate,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aNER_1%3bref_area%3aMDG_NAFR%2cMDG_SSA%2cZAF,UIS Data Centre,javascript:;
Neonatal mortality rate (per 1000 live births),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHOSIS_000003%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Gross enrolment ratio in pre-primary education,https://data.un.org/Data.aspx?q=africa&d=SOWC&f=inID%3a223%3bcrID%3a483%2c484%2c485%2c494%2c535,The State of the World’s Children,javascript:;
Researchers by Sector: Government sector (FTE),https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aST_20209%3bref_area%3aZAF,UIS Data Centre,javascript:;
"New pneumatic tyres, of rubber, for motor cars",https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a36111-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Electric generating sets and rotary converters,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a46113-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
Public-transport type passenger motor vehicles,https://data.un.org/Data.aspx?q=africa&d=ICS&f=cmID%3a49112-0%3bcrID%3a710,Industrial Commodity Statistics Database,javascript:;
"Meat of cattle with the bone, fresh or chilled",https://data.un.org/Data.aspx?q=africa&d=FAO&f=itemCode%3a867%3bcountryCode%3a202%2c5100%2c5101%2c5102%2c5103%2c5104%2c5105,FAOSTAT,javascript:;
"Trade of goods, US$, HS, 07 Vegetables and certain roots and tubers; edible",https://data.un.org/Data.aspx?q=africa&d=ComTrade&f=_l1Code%3a8%3brtCode%3a710,Commodity Trade Statistics Database,javascript:;
Status of endemicity of cutaneous leishmaniasis,https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aNTD_LEISHCEND%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Non-daily newspapers: Total average circulation,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aC_N_500104%3bref_area%3aZAF,UIS Data Centre,javascript:;
Co-management of tuberculosis and HIV treatment,https://data.un.org/Data.aspx?q=africa&d=UNAIDS&f=inID%3a22%3bcrID%3a204,UNAIDS Data,javascript:;
Deaths due to HIV/AIDS (per 100 000 population),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS2_138%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
"PPG, other private creditors (NFL, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.NFL.PROP.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
Literacy rate among adults aged >= 15 years (%),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS9_85%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Population living on <$1 (PPP int. $) a day (%),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3aWHS9_90%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
BCG immunization coverage among 1-year-olds (%),https://data.un.org/Data.aspx?q=africa&d=WHO&f=MEASURE_CODE%3abcgv%3bCOUNTRY_ISO_CODE%3aZAF,WHO Data,javascript:;
Gender parity index for secondary net enrolment,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a70%3bcrID%3a79,Gender Info,javascript:;
Gender parity index for primary gross enrolment,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a71%3bcrID%3a79,Gender Info,javascript:;
Post-Secondary Non-Tertiary Education Enrolment,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aE_4%3bref_area%3aZAF,UIS Data Centre,javascript:;
Women's share of tertiary enrolment in services,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a84%3bcrID%3a79,Gender Info,javascript:;
Women's share of teachers in tertiary education,https://data.un.org/Data.aspx?q=africa&d=GenderStat&f=inID%3a90%3bcrID%3a79,Gender Info,javascript:;
